movie_quote,movie_name,movie_star
当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,"朗读者, / The Reader, / 为爱朗读(台)  /  读爱(港)",8.5
诺兰的牛逼来源于内心散发出的恐惧。,"追随, / Following, / 致命追踪  /  跟踪",8.9
天使与魔鬼的冲撞。,"撞车, / Crash, / 冲击效应  /  冲撞",8.6
尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,"小森林 冬春篇, / リトル・フォレスト 冬・春, / 小森食光 / 冬春篇(台) ",8.9
把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,"时空恋旅人, / About Time, / 时空旅恋人  /  回到最爱的一天(港)",8.6
人生的N种可能性。,"罗生门, / 羅生門, / Rashomon",8.7
华太师是黄霑，吴镇宇四大才子之一。,"唐伯虎点秋香, / 唐伯虎點秋香, / Flirting Scholar",8.4
只有有信仰的人才能说出事实真相。,"一次别离, / جدایی نادر از سیمین, / 分居风暴(台)  /  伊朗式分居(港)",8.7
荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,"心迷宫, / 殡棺  /  The Coffin in the Mountain",8.6
Balalala~~~,"超能陆战队, / Big Hero 6, / 大英雄联盟(港)  /  大英雄天团(台)",8.6
诺兰就是保证。,"蝙蝠侠：黑暗骑士崛起, / The Dark Knight Rises, / 蝙蝠侠前传3：黑暗骑士崛起  /  黑暗骑士：黎明升起(台)",8.5
做一颗让别人需要你的棋子。,"战争之王, / Lord of War, / 军火之王(台 / 港) ",8.5
坚硬的信仰。,"可可西里, / Kekexili: Mountain Patrol",8.7
一场没有春天的噩梦。,"梦之安魂曲, / Requiem for a Dream, / 噩梦挽歌(台)  /  迷上瘾(港)",8.7
天使保护事件始末。,"地球上的星星, / Taare Zameen Par, / 心中的小星星(台)  /  每一个孩子都是特别的",8.8
在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,"碧海蓝天, / Le grand bleu, / 碧海情深  /  夜海倾情",8.7
好的剧本是，就算你猜到了结局也猜不到全部。,"未麻的部屋, / Perfect Blue, / 蓝色的恐惧  /  蓝色恐惧",8.8
这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,"爆裂鼓手, / Whiplash, / 鼓动真我(港)  /  进击的鼓手(台)",8.6
不要企图在重复中寻找已经失去的爱。,"恐怖游轮, / Triangle, / 汪洋血迷宮(台)  /  轮回三角",8.3
青春就是放弃和怀念。,"秒速5厘米, / 秒速5センチメートル, / 秒速五厘米  /  秒速5公分",8.3
谁说王家卫镜头很晃？,"谍影重重2, / The Bourne Supremacy, / 叛谍追击2：机密圈套(港)  /  神鬼认证：神鬼疑云(台)",8.5
王家卫是一种风格，张国荣是一个代表。,"阿飞正传, / 阿飛正傳, / Days of Being Wild",8.5
哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,"谍影重重, / The Bourne Identity, / 叛谍追击(港)  /  神鬼认证(台)",8.5
Jared Leto的腿比女人还美！,"达拉斯买家俱乐部, / Dallas Buyers Club, / 续命枭雄(港)  /  药命俱乐部(台)",8.6
弱者送给弱者的一刀。,"牯岭街少年杀人事件, / 牯嶺街少年殺人事件, / A Brighter Summer Day",8.7
生命不止，摇滚不死。,"海盗电台, / The Boat That Rocked, / 出位乐人谷(港)  /  海盗电波",8.6
故事的反转与反转，分裂电影的始祖。,"惊魂记, / Psycho, / 精神病患者  /  触目惊心",8.8
宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,"魔女宅急便, / 魔女の宅急便, / 魔女琪琪(台)  /  小魔女限时专送",8.4
热血沸腾，那个低俗、性感的无耻混蛋又来了。,"被解救的姜戈, / Django Unchained, / 被解放的姜戈  /  决杀令(台)",8.5
爱我就给我看你的播放列表。,"再次出发之纽约遇见你, / Begin Again, / 再次出发  /  歌曲改变人生",8.5
东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,"东京物语, / 東京物語, / 东京故事  /  Tokyo Story",9.2
天使暂时离开。,"绿里奇迹, / The Green Mile, / 绿色奇迹(台)  /  绿色英里",8.7
类型片的极致。 ,"勇闯夺命岛, / The Rock, / 石破天惊  /  绝地任务",8.5
没有了退路，只好飞向自由。,"末路狂花, / Thelma & Louise, / 塞尔玛与路易丝  /  末路狂花",8.7
最美的飞翔。,"迁徙的鸟, / Le peuple migrateur, / 鸟的迁徙  /  鸟与梦飞行",9.1
